year,avg_gdp_growth,avg_enrollment_growth,avg_tertiary_enrollment_growth,avg_expenditure_on_edu_growth
2003,2.081024274553724,-2.2117033215709,13.09503528275912,2.86106513247814
2004,4.336113387174995,1.9007055672213717,15.875280281126901,-1.3940397815399477
2005,4.784006109141181,2.9186637794522468,12.001249221162952,6.087092702932802
2006,5.795491623324301,2.8215246703559362,13.54354226737671,-7.782656242879526
2007,5.824027636627216,2.5928503203083593,13.48677519141894,1.5918636127055927
2008,4.544324019943533,1.5093644661350474,12.497507673404106,2.4101037275863324
2009,1.3390438664686637,1.0172392408403508,8.58877809410168,1.4177162928333287
2010,4.569074130803808,1.1079715212789558,7.368758294717593,5.487825912122923
2011,4.935033625741438,0.41374805481940063,6.487788647949774,5.194485791299134
2012,3.88332524382677,0.11133772583934941,2.8516561973863728,1.9349392830720413
2013,3.340878979996382,0.43364500843919557,2.0397494932096056,3.6319895205046597
2014,2.695146696046257,0.5800960258369712,5.426446044721695,5.067892778113887
2015,2.6644539777161254,-0.3087071609614829,0.06490282021790957,-3.168624345653357
2016,2.3449171419415586,0.4662058797466524,1.89138497600426,3.0361916460579454
2017,2.2732020170572182,0.3397162955093118,3.880105826101085,2.0858464011220055
2018,2.578080991625501,0.45996758954068484,0.1786532604060702,-2.661709254686002
2019,2.4222995976462536,0.8169567277753641,1.8788117006638907,-0.3555904560576604
2020,-4.219863453861678,0.48146782950297506,3.375516973471645,1.6944325264493227
2021,6.593546302901676,-0.3415430088941062,7.4726072902989955,2.8474812124407722
2022,7.064987649886506,-1.102386017116763,0.8114411418180776,-2.871080837667937
